成都医学院站	104.115051	30.751517
成都军区总医院站	104.114285	30.746347
地铁军区总医院站	104.113828	30.742999
大湾站	104.112816	30.739336
蜀陵路口站	104.109474	30.729601
地铁熊猫大道站	104.107435	30.724327
川陕立交北	104.105964	30.720639
地铁动物园站	104.103689	30.714844
动物园站	104.101842	30.710921
洪家坡站	104.097904	30.706428
羊子山路站	104.095055	30.703985
二环路北三段站	104.085796	30.693913
火车北站东站	104.077785	30.694658
火车北站公交站	104.075840	30.694673
火车北站西站	104.070782	30.694703
新太平园家居城站	103.938894	30.610495
龙桥北路中站	103.940382	30.607118
地铁龙桥路站	103.943314	30.604100
武侯大道金江中路口站	103.961456	30.612349
双凤四街金江路口	103.964928	30.609923
双凤四街金凤街口	103.967579	30.611116
金凤街	103.970001	30.608696
七里大道西	103.973754	30.606071
七里大道站	103.976791	30.607458
七里大道金兴南路口站	103.979264	30.608596
七里大道中站	103.983131	30.610329
七里大道东站	103.985786	30.611541
武侯大道七里大道路口站	103.987912	30.611183
地铁簇桥站	103.990551	30.608171
百锦路站	103.993359	30.609609
福锦路二段北站	103.995794	30.608883
福锦路二段站	103.997917	30.606684
簇桥站	103.999857	30.604735
成双大道文盛路口	104.003570	30.604098
川藏路中段站	104.004942	30.607558
地铁簇锦站	104.007474	30.610431
南桥村站	104.010404	30.613407
三环路川藏立交桥南站	104.012707	30.615919
太平园站	104.016111	30.619206
佳灵路高新路口站	104.025902	30.629393
二环董家湾北街口站	104.032386	30.634738
红牌楼东站	104.034470	30.632553
地铁科园站	104.039290	30.628330
永丰路站	104.048993	30.629305
永丰路玉林西路口	104.050730	30.631998
双凤二路	103.974167	30.610060
智星一路	103.979435	30.609920
智达二路金履四路口	103.985363	30.609860
金履三路东	103.987066	30.607520
百花中心站	104.040997	30.652401
地铁省骨科医院站	104.040977	30.650036
一环路菊乐路口站	104.041204	30.644855
创业路二环路口南站	104.044249	30.622453
高棚子站	104.040726	30.616653
新乐路成雅路口站	104.037185	30.607752
新乐路站	104.040095	30.606018
新乐路东站	104.043167	30.603452
美洲花园站	104.039284	30.600424
美洲北路站	104.037088	30.598815
地铁庆安站	104.035202	30.598185
石羊场公交站	104.035151	30.586487
府城大道西段西站	104.038270	30.587972
府城大道剑南大道口站	104.048096	30.588221
市一医院站	104.054392	30.586836
成汉南路锦晖西二街口站	104.054405	30.584883
交子大道成汉南路口站	104.055885	30.582344
交子大道益州大道口站	104.060860	30.582460
交子南一路中站	104.064178	30.579744
地铁孵化园站	104.064255	30.576864
地铁心岛站	104.071975	30.575716
环岛路口站	104.076858	30.574981
复地金融岛	104.074673	30.572344
肖家街	104.171647	30.639492
大面文化广场站	104.167692	30.624148
洪玉路	104.171198	30.622548
玉鹤路洪玉路口	104.172839	30.621089
玉鹤路梧桐路口站	104.171962	30.619362
洪河大道北路站	104.167553	30.618452
洪河大道中路北站	104.167513	30.614679
青苗学校站	104.167244	30.610595
洪河大道中路站	104.167030	30.607598
洪河大道中路南站	104.162743	30.602726
地铁洪河站	104.157912	30.604761
驿都大道西站	104.152806	30.607712
三环路航天立交桥东站	104.145085	30.610796
赖家新桥路口站	104.137344	30.614485
川师北大门站	104.127483	30.619553
沙河铺路口站	104.122977	30.621910
川师成教院站	104.119870	30.620339
静康路中	104.115777	30.619722
静康路沙河大桥	104.111496	30.620783
地铁净居寺站	104.105034	30.623206
净居寺二环路口站	104.100876	30.625806
龙舟路站	104.098620	30.627261
地铁顺江路站	104.093403	30.634219
九眼桥东站	104.091332	30.638516
九眼桥南站	104.086393	30.638613
红瓦寺站	104.081984	30.636532
城市音乐厅	104.078424	30.634839
磨子桥站	104.074606	30.633760
北湖公交站	104.168454	30.711823
龙潭寺站	104.166695	30.704718
龙潭路站	104.164831	30.702079
龙潭立交东	104.162457	30.699396
龙潭立交	104.159155	30.695165
龙潭立交西	104.155697	30.691710
成华大道民兴路口	104.149259	30.684791
圣灯公园	104.147102	30.682550
地铁十里店站	104.144340	30.679804
崔家店路西	104.134270	30.662514
崔家店	104.130785	30.659829
跳蹬河	104.125071	30.657579
双林中横路站	104.110255	30.651799
双桥路中站	104.107548	30.649689
双桥北二街口站	104.104721	30.650999
双桥路站	104.099289	30.653507
天祥寺站	104.092571	30.656618
地铁市二医院站(C口)	104.086329	30.659679
红星路蜀都大道口站	104.081892	30.657244
万家湾公交站	103.961158	30.664518
光华南三路	103.963086	30.666875
光华大道光华北三路口	103.961734	30.668906
凯德风尚站	103.956961	30.668868
光华大道一段东二站	103.952083	30.668811
地铁蔡桥站	103.947207	30.669008
光华大道一段西一站	103.942760	30.670140
国际非遗博览园站	103.926622	30.672690
地铁非遗博览园站	103.921104	30.674675
地铁马厂坝站	103.915668	30.678740
董家坝站	103.917700	30.681832
文家口	103.921204	30.687172
四川商务职业学院站	103.923795	30.690058
中海国际	103.980612	30.720720
汇川街三段	103.982565	30.718231
蜀西路土龙路口	103.985622	30.717273
土桥村	103.989245	30.714771
高家村	103.995686	30.710794
蜀西路	103.998841	30.708131
蜀西路迎宾大道口	104.000657	30.706582
羊犀立交东	104.007541	30.699466
地铁羊犀立交站	104.011912	30.694639
蜀汉路	104.016598	30.690809
蜀汉路同和路口	104.021393	30.687759
同友路口	104.025351	30.685247
地铁蜀汉路东站	104.028412	30.683289
抚琴西路西	104.034242	30.679637
抚琴西路	104.037313	30.677864
永陵路西	104.042665	30.675320
槐树街西	104.049126	30.672071
槐树街东	104.052598	30.670286
东门街站	104.058429	30.667517
东城根南街站	104.060677	30.657413
西御街	104.063141	30.656363
人民北路二段站	104.073235	30.689964
地铁人民北路站	104.074206	30.685582
一环顺沙巷口	104.079948	30.683494
地铁梁家巷站	104.083922	30.682033
一环恒德路口	104.086606	30.680810
一环马鞍北路口站	104.089160	30.679555
地铁前锋路站	104.092238	30.678040
电子科大沙河校区站	104.097191	30.674581
地铁电子科大建设北路站	104.098555	30.671615
一环路建设路口南站	104.100329	30.667141
地铁新鸿路站	104.102367	30.661020
一环双林路口站	104.100069	30.656636
地铁玉双路站	104.097989	30.653175
水碾河站	104.095357	30.649049
地铁牛王庙站	104.092489	30.644265
九眼桥北站	104.090950	30.641810
九如村站	104.061508	30.633405
一环小天东街口	104.057218	30.633296
西南民族大学	104.047776	30.636627
一环武侯祠大街口	104.041433	30.642841
一环菊乐路口	104.041252	30.646765
百花潭公园站	104.041000	30.656048
地铁青羊宫站	104.040906	30.660430
省医院站	104.040805	30.662280
地铁中医大省医院站	104.040730	30.667405
青羊小区站	104.040530	30.671719
地铁抚琴站	104.041901	30.676813
一环抚林巷口	104.043266	30.679169
西门车站	104.045683	30.682620
地铁花牌坊站	104.048845	30.683659
沙湾站	104.053652	30.684658
地铁西北桥站	104.059705	30.685898
一环白马寺街口	104.064089	30.685864
一环五丁路口站	104.067030	30.685852
人民北路站	104.073301	30.687191
成都西站公交枢纽站	103.978511	30.684374
万花路	103.972283	30.680875
西货站路万花二路口站	103.975342	30.678674
日月大道西货站路口	103.976970	30.673609
苏坡立交桥西站	103.986528	30.673546
三环路苏坡立交桥站	103.993277	30.673637
贝森路西站	103.995039	30.670451
贝森路站	103.999084	30.670065
贝森路东站	104.002144	30.669787
贝森南路南站	104.003503	30.667114
瑞联路东站	104.005974	30.665501
光华村街西站	104.010166	30.664748
光华村街站	104.014711	30.663103
光华村街二环路口站	104.019080	30.662227
杜甫草堂(北门)	104.026435	30.662304
送仙桥站	104.035297	30.662091
青羊宫站	104.042067	30.658522
宝云庵站	104.045291	30.657483
百花新村站	104.048494	30.653624
锦里中路站	104.055183	30.651062
南门大桥站	104.061506	30.647448
